7H,16726,BET,3599,KLG,5964,Y,0,CNA CNC,72 
7H,16726,BET,3599,KUK,7094,Y,0,CNA,24 
7H,16726,BET,3599,KWK,7096,Y,0,CNA,77 
7H,16726,BET,3599,KWN,7206,Y,0,CNA,71 
7H,16726,BET,3599,KWT,7095,Y,0,CNA,13 
7H,16726,BET,3599,MLL,7097,Y,0,CNA,75 
7H,16726,BET,3599,NME,8199,Y,0,CNA CNC,100 
7H,16726,BET,3599,OOK,8200,Y,0,CNA CNC,112 
7H,16726,BET,3599,PQS,7216,Y,0,CNA,90 
7H,16726,BET,3599,TLT,7218,Y,0,CNA,38 
7H,16726,BET,3599,VAK,5968,Y,0,CNA,136 
7H,16726,BET,3599,WTL,7099,Y,0,CNA,41 
7H,16726,BKC,7178,DRG,6755,Y,0,CNC,46 
7H,16726,BKC,7178,OTZ,3693,Y,0,CNC,74 
7H,16726,BRW,3571,AIN,7220,Y,0,BE1 CNC,86 
7H,16726,BRW,3571,ATK,6714,Y,0,CNC,59 
7H,16726,BRW,3571,NUI,7092,Y,0,BE1,151 
7H,16726,BRW,3571,PIZ,3414,Y,0,CNC BE1,180 
7H,16726,BTI,3411,FYU,3420,Y,0,BE1,249 
7H,16726,BTI,3411,SCC,3620,Y,0,BE1,113 
7H,16726,CDV,3610,ANC,3774,,0,BE1,160 
7H,16726,CHU,7091,CKD,7238,Y,0,CNA,41 
7H,16726,CKD,7238,SLQ,7240,Y,0,CNA,34 
7H,16726,CYF,6960,BET,3599,Y,0,CNA,95 
7H,16726,CYF,6960,KPN,7201,Y,0,CNA,17 
7H,16726,DRG,6755,BKC,7178,Y,0,CNC,46 
7H,16726,DRG,6755,OTZ,3693,Y,0,CNC,57 
7H,16726,EEK,7093,KWN,7206,Y,0,CNA,32 
7H,16726,ELI,7184,KKA,7190,Y,0,PAG,40 
7H,16726,ELI,7184,OME,3615,Y,0,PAG,95 
7H,16726,EMK,7087,AUK,7199,Y,0,CNA,10 
7H,16726,EMK,7087,KOT,7207,Y,0,CNA,35 
7H,16726,ENA,3628,ANC,3774,,0,BE1 DH8,59 
7H,16726,FAI,3832,ANC,3774,,0,DH8 BE1,261 
7H,16726,FAI,3832,FYU,3420,Y,0,BE1,143 
7H,16726,FAI,3832,GAL,3764,,0,BE1,268 
7H,16726,FAI,3832,RBY,6722,Y,0,CNC,225 
7H,16726,FAI,3832,SCC,3620,,0,DH8,373 
7H,16726,FYU,3420,BTI,3411,Y,0,BE1,249 
7H,16726,FYU,3420,FAI,3832,Y,0,BE1,143 
